stateabb,statename,statefips,sector,sectorname,endweek,ic,emp,ic_share_emp,ic_share_sumic,ic_headline
MA,Massachusetts,25,71,"Arts, Entertainment, and Recreation",2020-03-21,5137,81061.66666666667,0.06337150728868968,0.03843909009278659,148452
MA,Massachusetts,25,71,"Arts, Entertainment, and Recreation",2020-03-28,3230,81061.66666666667,0.039846207619713386,0.026875904877602302,181423
MA,Massachusetts,25,72,Accommodation and Food Services,2020-03-14,1861,331755.3333333333,0.005609555636382635,0.26502420962688694,7449
MA,Massachusetts,25,72,Accommodation and Food Services,2020-03-21,44353,331755.3333333333,0.13369189744249277,0.33188416641724033,148452
MA,Massachusetts,25,72,Accommodation and Food Services,2020-03-28,17163,331755.3333333333,0.051733908321996334,0.14280840724900568,181423
MA,Massachusetts,25,81,Other Services (except Public Administration),2020-03-14,301,123249,0.0024422104844664056,0.04286528054685275,7449
MA,Massachusetts,25,81,Other Services (except Public Administration),2020-03-21,11047,123249,0.08963155887674545,0.08266237653397186,148452
MA,Massachusetts,25,81,Other Services (except Public Administration),2020-03-28,10883,123249,0.08830091927723552,0.09055432593899253,181423
MA,Massachusetts,25,92,Public Administration,2020-03-14,116,140581,8.251470682382399e-4,0.016519510111079466,7449
MA,Massachusetts,25,92,Public Administration,2020-03-21,1679,140581,0.011943292479069006,0.012563603711463634,148452
MA,Massachusetts,25,92,Public Administration,2020-03-28,1468,140581,0.010442378415290828,0.012214807541894792,181423
ME,Maine,23,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-21,280,30876,0.009068532193289286,0.016403046280023433,21459
ME,Maine,23,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-28,460,30876,0.014898302888975257,0.0343796711509716,23770
ME,Maine,23,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-04-04,320,30876,0.010364036792330613,0.03146509341199607,30910
ME,Maine,23,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-21,30,7825,0.0038338658146964857,0.0017574692442882249,21459
